;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
2759;Stade Reims;Hamari Traoré;23.0;Right-Back;Lierse SK;£810Th.;in;Summer;0.81;Ligue 1;2015;2015/2016;https://sofifa.com/player/219789/hamari-traore/160002;hamari-traoré
2760;FC Lorient;Adrian Grbic;23.0;Centre-Forward;Clermont Foot;£8.10m;in;Summer;8.1;Ligue 1;2020;2020/2021;https://sofifa.com/player/239432/adrian-grbic/210002;adrian-grbic
2761;Nîmes Olympique;Loick Landre;26.0;Centre-Back;Genoa;£135Th.;in;Summer;0.135;Ligue 1;2018;2018/2019;https://sofifa.com/player/202002/loick-landre/190002;loick-landre
2762;AFC Bournemouth;Lys Mousset;20.0;Centre-Forward;AC Le Havre;£5.85m;in;Summer;5.85;Premier League;2016;2016/2017;https://sofifa.com/player/221618/lys-mousset/170002;lys-mousset
2763;Southampton FC;Ché Adams;22.0;Centre-Forward;Birmingham;£15.03m;in;Summer;15.03;Premier League;2019;2019/2020;0;ché-adams
2764;SD Huesca;Pablo Insua;26.0;Centre-Back;FC Schalke 04;£225Th.;in;Summer;0.225;Primera Division;2020;2020/2021;https://sofifa.com/player/207431/pablo-insua-blanco/210002;pablo-insua
2765;Celta de Vigo;Álvaro Lemos;23.0;Right-Back;CD Lugo;£180Th.;in;Summer;0.18;Primera Division;2016;2016/2017;https://sofifa.com/player/205551/alvaro-lemos-collazo/170002;álvaro-lemos
2766;Inter Milan;Ionut Radu;22.0;Goalkeeper;Genoa;£9.54m;in;Summer;9.54;Serie A;2019;2019/2020;0;ionut-radu
2767;Montpellier HSC;Giovanni Sio;28.0;Centre-Forward;Stade Rennais;£1.98m;in;Summer;1.98;Ligue 1;2017;2017/2018;https://sofifa.com/player/183389/giovanni-sio/180002;giovanni-sio
2768;Hamburger SV;Lewis Holtby;24.0;Central Midfield;Spurs;£5.85m;in;Summer;5.85;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/188154/lewis-holtby/160002;lewis-holtby
2769;VfL Wolfsburg;Daniel Ginczek;27.0;Centre-Forward;VfB Stuttgart;£12.60m;in;Summer;12.6;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/192445/daniel-ginczek/190002;daniel-ginczek
2770;FC Lorient;Terem Moffi;21.0;Centre-Forward;KV Kortrijk;£7.20m;in;Summer;7.2;Ligue 1;2020;2020/2021;https://sofifa.com/player/255000/terem-moffi/210002;terem-moffi
2771;Southampton FC;Moussa Djenepo;21.0;Left Winger;Standard Liège;£14.13m;in;Summer;14.13;Premier League;2019;2019/2020;https://sofifa.com/player/237560/moussa-djenepo/200002;moussa-djenepo
2772;VfL Wolfsburg;Marvin Stefaniak;22.0;Attacking Midfield;Dynamo Dresden;£1.80m;in;Summer;1.8;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/216255/marvin-stefaniak/180002;marvin-stefaniak
2773;Hamburger SV;Albin Ekdal;25.0;Defensive Midfield;Cagliari Calcio;£4.05m;in;Summer;4.05;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/181318/albin-ekdal/160002;albin-ekdal
2774;AS Monaco;Vanderson;20.0;Right-Back;Grêmio;£9.90m;in;Winter;9.9;Ligue 1;2021;2021/2022;0;
2775;VfL Wolfsburg;Wout Weghorst;25.0;Centre-Forward;AZ Alkmaar;£9.45m;in;Summer;9.45;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/223689/wout-weghorst/190002;wout-weghorst
2776;AFC Bournemouth;Brad Smith;22.0;Left-Back;Liverpool;£3.24m;in;Summer;3.24;Premier League;2016;2016/2017;https://sofifa.com/player/210389/brad-smith/170002;brad-smith
2777;Inter Milan;Eddie Salcedo;17.0;Centre-Forward;Genoa;£9.00m;in;Summer;9.0;Serie A;2019;2019/2020;0;eddie-salcedo
2778;RC Lens;Patrick Berg;24.0;Defensive Midfield;Bodø/Glimt;£4.05m;in;Winter;4.05;Ligue 1;2021;2021/2022;https://sofifa.com/player/222227/patrick-berg/220002;patrick-berg
2779;FC Lorient;Armand Laurienté;21.0;Right Winger;Stade Rennais;£2.70m;in;Summer;2.7;Ligue 1;2020;2020/2021;https://sofifa.com/player/243593/armand-lauriente/210002;armand-laurienté
2780;VfL Wolfsburg;Kaylen Hinds;19.0;Second Striker;Arsenal U23;£1.35m;in;Summer;1.35;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/225784/kaylen-hinds/180002;kaylen-hinds
2781;VfL Wolfsburg;Marcel Tisserand;25.0;Centre-Back;FC Ingolstadt;£6.30m;in;Summer;6.3;1 Bundesliga;2018;2018/2019;https://sofifa.com/player/216247/marcel-tisserand/190002;marcel-tisserand
2782;Hamburger SV;Aaron Hunt;28.0;Attacking Midfield;VfL Wolfsburg;£2.70m;in;Summer;2.7;1 Bundesliga;2015;2015/2016;0;aaron-hunt
2783;Hamburger SV;Michael Gregoritsch;21.0;Second Striker;VfL Bochum;£2.70m;in;Summer;2.7;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/199439/michael-gregoritsch/160002;michael-gregoritsch
2784;Montpellier HSC;Pedro Mendes;26.0;Centre-Back;Stade Rennais;£900Th.;in;Summer;0.9;Ligue 1;2017;2017/2018;https://sofifa.com/player/200677/pedro-filipe-teodosio-mendes/180002;pedro-mendes
