;club_name;player_name;age;position;club_involved_name;fee;transfer_movement;transfer_period;fee_cleaned;league_name;year;season;player_url;id-name
0;PSV Eindhoven;Gastón Pereiro;20.0;Attacking Midfield;Nacional;£6.30m;in;Summer;6.3;Eredivisie;2015;2015/2016;0;gastón-pereiro
1;Bayern Munich;Lucas Hernández;23.0;Centre-Back;Atlético Madrid;£72.00m;in;Summer;72.0;1 Bundesliga;2019;2019/2020;https://sofifa.com/player/220814/lucas-hernandez/200002;lucas-hernández
2;Ajax Amsterdam;Mohamed Daramy;19.0;Left Winger;FC Copenhagen;£10.80m;in;Summer;10.8;Eredivisie;2021;2021/2022;https://sofifa.com/player/246459/mohamed-daramy/220002;mohamed-daramy
3;Amiens SC;Saman Ghoddos;24.0;Attacking Midfield;Östersund;£3.60m;in;Summer;3.6;Ligue 1;2018;2018/2019;https://sofifa.com/player/231949/saman-ghoddos/190002;saman-ghoddos
4;Arsenal FC;Thomas Partey;27.0;Defensive Midfield;Atlético Madrid;£45.00m;in;Summer;45.0;Premier League;2020;2020/2021;https://sofifa.com/player/209989/thomas-partey/210002;thomas-partey
5;Feyenoord Rotterdam;Steven Berghuis;25.0;Right Winger;Watford;£5.85m;in;Summer;5.85;Eredivisie;2017;2017/2018;https://sofifa.com/player/200260/steven-berghuis/180002;steven-berghuis
6;PSV Eindhoven;Bart Ramselaar;20.0;Attacking Midfield;FC Utrecht;£4.28m;in;Summer;4.28;Eredivisie;2016;2016/2017;https://sofifa.com/player/227633/bart-ramselaar/170002;bart-ramselaar
7;Chelsea FC;Pedro;28.0;Right Winger;Barcelona;£24.30m;in;Summer;24.3;Premier League;2015;2015/2016;https://sofifa.com/player/189505/pedro-rodriguez-ledesma/160002;
8;Paris Saint-Germain;Mauro Icardi;27.0;Centre-Forward;Inter;£45.00m;in;Summer;45.0;Ligue 1;2020;2020/2021;https://sofifa.com/player/201399/mauro-icardi/210002;mauro-icardi
9;LOSC Lille;Amadou Onana;19.0;Defensive Midfield;Hamburger SV;£6.30m;in;Summer;6.3;Ligue 1;2021;2021/2022;https://sofifa.com/player/257057/amadou-onana/220002;amadou-onana
10;Manchester City;João Cancelo;25.0;Right-Back;Juventus;£58.50m;in;Summer;58.5;Premier League;2019;2019/2020;https://sofifa.com/player/210514/joao-pedro-cavaco-cancelo/200002;joão-cancelo
11;Amiens SC;Moussa Konaté;24.0;Centre-Forward;FC Sion;£3.15m;in;Summer;3.15;Ligue 1;2017;2017/2018;https://sofifa.com/player/211321/moussa-konate/180002;moussa-konaté
12;Paris Saint-Germain;Grzegorz Krychowiak;26.0;Defensive Midfield;Sevilla FC;£24.75m;in;Summer;24.75;Ligue 1;2016;2016/2017;https://sofifa.com/player/197242/grzegorz-krychowiak/170002;grzegorz-krychowiak
13;Bayern Munich;Leroy Sané;24.0;Left Winger;Man City;£54.00m;in;Summer;54.0;1 Bundesliga;2020;2020/2021;https://sofifa.com/player/222492/leroy-sane/210002;leroy-sané
14;Swansea City;Bersant Celina;21.0;Attacking Midfield;Man City;£3.06m;in;Summer;3.06;Championship;2018;2018/2019;https://sofifa.com/player/220198/bersant-celina/190002;bersant-celina
15;Bayern Munich;Renato Sanches;18.0;Central Midfield;Benfica;£31.50m;in;Summer;31.5;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/230767/renato-junior-luz-sanches/170002;renato-sanches
16;Bayern Munich;Dayot Upamecano;22.0;Centre-Back;RB Leipzig;£38.25m;in;Summer;38.25;1 Bundesliga;2021;2021/2022;https://sofifa.com/player/229558/dayot-upamecano/220002;dayot-upamecano
17;Bayern Munich;Corentin Tolisso;22.0;Central Midfield;Olympique Lyon;£37.35m;in;Summer;37.35;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/219683/corentin-tolisso/180002;corentin-tolisso
18;Atalanta BC;Luis Muriel;28.0;Centre-Forward;Sevilla FC;£19.08m;in;Summer;19.08;Serie A;2019;2019/2020;https://sofifa.com/player/199110/luis-muriel/200002;luis-muriel
19;Paris Saint-Germain;Ángel Di María;27.0;Right Winger;Man Utd;£56.70m;in;Summer;56.7;Ligue 1;2015;2015/2016;0;ángel-di-maría
20;Cardiff City;Robert Glatzel;25.0;Centre-Forward;1.FC Heidenheim;£5.40m;in;Summer;5.4;Championship;2019;2019/2020;https://sofifa.com/player/236533/robert-glatzel/200002;robert-glatzel
21;FC Porto;Éder Militão;20.0;Centre-Back;São Paulo;£6.30m;in;Summer;6.3;Liga Nos;2018;2018/2019;https://sofifa.com/player/240130/eder-gabriel-militao/190002;éder-militão
22;Bayern Munich;Arturo Vidal;28.0;Central Midfield;Juventus;£35.33m;in;Summer;35.33;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/181872/arturo-vidal/160002;arturo-vidal
23;Atalanta BC;Mario Pasalic;25.0;Central Midfield;Chelsea;£13.05m;in;Summer;13.05;Serie A;2020;2020/2021;https://sofifa.com/player/223273/mario-pasalic/210002;mario-pasalic
24;Hull City;Kevin Stewart;23.0;Defensive Midfield;Liverpool;£4.05m;in;Summer;4.05;Championship;2017;2017/2018;https://sofifa.com/player/206538/kevin-stewart/180002;kevin-stewart
25;Atalanta BC;Alberto Paloschi;26.0;Centre-Forward;Swansea;£6.03m;in;Summer;6.03;Serie A;2016;2016/2017;https://sofifa.com/player/186961/alberto-paloschi/170002;alberto-paloschi
26;Inter Milan;Zinho Vanheusden;21.0;Centre-Back;Standard Liège;£14.40m;in;Summer;14.4;Serie A;2021;2021/2022;https://sofifa.com/player/241103/zinho-vanheusden/220002;zinho-vanheusden
27;SL Benfica;Raúl Jiménez;24.0;Centre-Forward;Atlético Madrid;£19.80m;in;Summer;19.8;Liga Nos;2015;2015/2016;0;raúl-jiménez
28;Barnsley FC;Herbie Kane;21.0;Central Midfield;Liverpool U23;£1.26m;in;Summer;1.26;Championship;2020;2020/2021;0;herbie-kane
29;Newcastle United;Dwight Gayle;26.0;Centre-Forward;Crystal Palace;£10.80m;in;Summer;10.8;Championship;2016;2016/2017;https://sofifa.com/player/205670/dwight-gayle/170002;dwight-gayle
30;Atlético de Madrid;Rodrigo de Paul;27.0;Central Midfield;Udinese Calcio;£31.50m;in;Summer;31.5;Primera Division;2021;2021/2022;0;rodrigo-de-paul
31;Athletic Bilbao;Yuri Berchiche;28.0;Left-Back;Paris SG;£21.60m;in;Summer;21.6;Primera Division;2018;2018/2019;https://sofifa.com/player/183512/yuri-berchiche-izeta/190002;yuri-berchiche
32;FC Barcelona;Antoine Griezmann;28.0;Second Striker;Atlético Madrid;£108.00m;in;Summer;108.0;Primera Division;2019;2019/2020;https://sofifa.com/player/194765/antoine-griezmann/200002;antoine-griezmann
33;Real Madrid;Theo Hernández;19.0;Left-Back;Atlético Madrid;£21.60m;in;Summer;21.6;Primera Division;2017;2017/2018;0;theo-hernández
34;Atalanta BC;Marten de Roon;26.0;Defensive Midfield;Middlesbrough;£15.03m;in;Summer;15.03;Serie A;2017;2017/2018;https://sofifa.com/player/208461/marten-de-roon/180002;marten-de-roon
35;Bayern Munich;Marc Roca;23.0;Defensive Midfield;Espanyol;£8.10m;in;Summer;8.1;1 Bundesliga;2020;2020/2021;https://sofifa.com/player/235945/marc-roca-junque/210002;marc-roca
36;Manchester City;Riyad Mahrez;27.0;Right Winger;Leicester;£61.02m;in;Summer;61.02;Premier League;2018;2018/2019;https://sofifa.com/player/204485/riyad-mahrez/190002;riyad-mahrez
37;FC Barcelona;Arda Turan;28.0;Left Winger;Atlético Madrid;£30.60m;in;Summer;30.6;Primera Division;2015;2015/2016;https://sofifa.com/player/143745/arda-turan/160002;arda-turan
38;SL Benfica;Raúl de Tomás;24.0;Centre-Forward;Real Madrid;£18.00m;in;Summer;18.0;Liga Nos;2019;2019/2020;https://sofifa.com/player/210315/raul-de-tomas-gomez/200002;raúl-de-tomás
39;Arsenal FC;Ben White;23.0;Centre-Back;Brighton;£52.65m;in;Summer;52.65;Premier League;2021;2021/2022;https://sofifa.com/player/225071/ben-whiteman/220002;ben-white
40;SL Benfica;Rafa Silva;23.0;Right Winger;SC Braga;£14.40m;in;Summer;14.4;Liga Nos;2016;2016/2017;0;rafa-silva
41;Ajax Amsterdam;Steven Berghuis;29.0;Right Winger;Feyenoord;£4.95m;in;Summer;4.95;Eredivisie;2021;2021/2022;https://sofifa.com/player/200260/steven-berghuis/220002;steven-berghuis
42;Amiens SC;Serhou Guirassy;23.0;Centre-Forward;1. FC Köln;£5.40m;in;Summer;5.4;Ligue 1;2019;2019/2020;https://sofifa.com/player/215441/serhou-guirassy/200002;serhou-guirassy
43;Juventus FC;Paulo Dybala;21.0;Second Striker;US Palermo;£36.90m;in;Summer;36.9;Serie A;2015;2015/2016;https://sofifa.com/player/211110/paulo-dybala/160002;paulo-dybala
44;Chelsea FC;Álvaro Morata;24.0;Centre-Forward;Real Madrid;£59.40m;in;Summer;59.4;Premier League;2017;2017/2018;0;álvaro-morata
45;Atalanta BC;Bryan Cristante;23.0;Central Midfield;Benfica;£8.55m;in;Summer;8.55;Serie A;2018;2018/2019;https://sofifa.com/player/208268/bryan-cristante/190002;bryan-cristante
46;FC Barcelona;André Gomes;22.0;Central Midfield;Valencia;£33.30m;in;Summer;33.3;Primera Division;2016;2016/2017;https://sofifa.com/player/194022/andre-gomes-magalhaes-almeida/170002;andré-gomes
47;Paris Saint-Germain;Sergio Rico;27.0;Goalkeeper;Sevilla FC;£5.40m;in;Summer;5.4;Ligue 1;2020;2020/2021;https://sofifa.com/player/206652/sergio-rico-gonzalez/210002;sergio-rico
48;Hull City;Moses Odubajo;22.0;Right-Back;Brentford;£4.50m;in;Summer;4.5;Championship;2015;2015/2016;https://sofifa.com/player/202113/moses-odubajo/160002;moses-odubajo
49;Leicester City;Islam Slimani;28.0;Centre-Forward;Sporting CP;£27.90m;in;Summer;27.9;Premier League;2016;2016/2017;https://sofifa.com/player/217699/islam-slimani/170002;islam-slimani
50;Arsenal FC;Martin Ødegaard;22.0;Attacking Midfield;Real Madrid;£31.50m;in;Summer;31.5;Premier League;2021;2021/2022;https://sofifa.com/player/222665/martin-odegaard/220002;martin-ødegaard
51;Atalanta BC;Aleksey Miranchuk;24.0;Attacking Midfield;Loko Moscow;£13.05m;in;Summer;13.05;Serie A;2020;2020/2021;https://sofifa.com/player/214092/alexey-miranchuk/210002;aleksey-miranchuk
52;Athletic Bilbao;Ander Capa;26.0;Right-Back;SD Eibar;£2.70m;in;Summer;2.7;Primera Division;2018;2018/2019;https://sofifa.com/player/216189/ander-capa-rodriguez/190002;ander-capa
53;Bayern Munich;Kingsley Coman;21.0;Right Winger;Juventus;£18.90m;in;Summer;18.9;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/213345/kingsley-coman/180002;kingsley-coman
54;Atalanta BC;Ruslan Malinovskyi;26.0;Attacking Midfield;KRC Genk;£12.24m;in;Summer;12.24;Serie A;2019;2019/2020;https://sofifa.com/player/231969/ruslan-malinovskyi/200002;ruslan-malinovskyi
55;FC Porto;Majeed Waris;26.0;Centre-Forward;FC Lorient;£4.68m;in;Summer;4.68;Liga Nos;2018;2018/2019;https://sofifa.com/player/198420/majeed-waris/190002;majeed-waris
56;Manchester City;Rodri;23.0;Defensive Midfield;Atlético Madrid;£56.43m;in;Summer;56.43;Premier League;2019;2019/2020;https://sofifa.com/player/231866/rodrigo-hernandez-cascante/200002;
57;FC Barcelona;Paco Alcácer;23.0;Centre-Forward;Valencia;£27.00m;in;Summer;27.0;Primera Division;2016;2016/2017;https://sofifa.com/player/200454/francisco-alcacer-garcia/170002;paco-alcácer
58;Arsenal FC;Gabriel;22.0;Centre-Back;LOSC Lille;£23.40m;in;Summer;23.4;Premier League;2020;2020/2021;https://sofifa.com/player/232580/gabriel-dos-s-magalhaes/210002;
59;Chelsea FC;Tiemoué Bakayoko;22.0;Defensive Midfield;Monaco;£36.00m;in;Summer;36.0;Premier League;2017;2017/2018;0;tiemoué-bakayoko
60;LOSC Lille;Gabriel Gudmundsson;22.0;Left-Back;FC Groningen;£5.40m;in;Summer;5.4;Ligue 1;2021;2021/2022;https://sofifa.com/player/236822/gabriel-gudmundsson/220002;gabriel-gudmundsson
61;PSV Eindhoven;Davy Pröpper;23.0;Central Midfield;Vitesse;£4.05m;in;Summer;4.05;Eredivisie;2015;2015/2016;https://sofifa.com/player/193158/davy-propper/160002;davy-pröpper
62;Paris Saint-Germain;Jesé;23.0;Centre-Forward;Real Madrid;£22.50m;in;Summer;22.5;Ligue 1;2016;2016/2017;https://sofifa.com/player/202515/jese-rodriguez-ruiz/170002;
63;Atalanta BC;Timothy Castagne;21.0;Right-Back;KRC Genk;£5.85m;in;Summer;5.85;Serie A;2017;2017/2018;https://sofifa.com/player/222501/timothy-castagne/180002;timothy-castagne
64;Barnsley FC;Michal Helik;25.0;Centre-Back;Cracovia;£720Th.;in;Summer;0.72;Championship;2020;2020/2021;https://sofifa.com/player/219293/michal-helik/210002;michal-helik
65;Swansea City;Joel Asoro;19.0;Centre-Forward;Sunderland;£2.07m;in;Summer;2.07;Championship;2018;2018/2019;https://sofifa.com/player/235855/joel-asoro/190002;joel-asoro
66;Inter Milan;Denzel Dumfries;25.0;Right-Back;PSV Eindhoven;£11.25m;in;Summer;11.25;Serie A;2021;2021/2022;https://sofifa.com/player/233096/denzel-dumfries/220002;denzel-dumfries
67;SL Benfica;Carlos Vinícius;24.0;Centre-Forward;SSC Napoli;£15.30m;in;Summer;15.3;Liga Nos;2019;2019/2020;https://sofifa.com/player/209828/carlos-vinicius-santos-de-jesus/200002;carlos-vinícius
68;Chelsea FC;Abdul-Rahman Baba;21.0;Left-Back;FC Augsburg;£23.40m;in;Summer;23.4;Premier League;2015;2015/2016;https://sofifa.com/player/209620/abdul-rahman-baba/160002;abdul-rahman-baba
69;Cardiff City;Aden Flint;30.0;Centre-Back;Middlesbrough;£4.01m;in;Summer;4.01;Championship;2019;2019/2020;https://sofifa.com/player/202408/aden-flint/200002;aden-flint
70;Bayern Munich;Mats Hummels;27.0;Centre-Back;Bor. Dortmund;£31.50m;in;Summer;31.5;1 Bundesliga;2016;2016/2017;https://sofifa.com/player/178603/mats-hummels/170002;mats-hummels
71;Atlético de Madrid;Matheus Cunha;22.0;Centre-Forward;Hertha BSC;£23.40m;in;Summer;23.4;Primera Division;2021;2021/2022;https://sofifa.com/player/240243/matheus-santos-carneiro-da-cunha/220002;matheus-cunha
72;Bayern Munich;Bouna Sarr;28.0;Right-Back;Marseille;£7.20m;in;Summer;7.2;1 Bundesliga;2020;2020/2021;https://sofifa.com/player/204472/bouna-sarr/210002;bouna-sarr
73;FC Barcelona;Aleix Vidal;25.0;Right-Back;Sevilla FC;£15.30m;in;Summer;15.3;Primera Division;2015;2015/2016;https://sofifa.com/player/202493/aleix-vidal-parreu/160002;aleix-vidal
74;Manchester City;Philippe Sandler;21.0;Centre-Back;PEC Zwolle;£2.25m;in;Summer;2.25;Premier League;2018;2018/2019;https://sofifa.com/player/234679/philippe-sandler/190002;philippe-sandler
75;Hull City;Nouha Dicko;25.0;Centre-Forward;Wolves;£3.42m;in;Summer;3.42;Championship;2017;2017/2018;https://sofifa.com/player/205559/nouha-dicko/180002;nouha-dicko
76;Bayern Munich;Benjamin Pavard;23.0;Right-Back;VfB Stuttgart;£31.50m;in;Summer;31.5;1 Bundesliga;2019;2019/2020;https://sofifa.com/player/226851/benjamin-pavard/200002;benjamin-pavard
77;Bayern Munich;Marcel Sabitzer;27.0;Central Midfield;RB Leipzig;£13.50m;in;Summer;13.5;1 Bundesliga;2021;2021/2022;https://sofifa.com/player/204923/marcel-sabitzer/220002;marcel-sabitzer
78;Barnsley FC;Dominik Frieser;26.0;Right Winger;LASK;£720Th.;in;Summer;0.72;Championship;2020;2020/2021;https://sofifa.com/player/239393/dominik-frieser/210002;dominik-frieser
79;Amiens SC;Juan Ferney Otero;23.0;Right Winger;Estudiantes;£1.92m;in;Summer;1.92;Ligue 1;2018;2018/2019;https://sofifa.com/player/224428/juan-ferney-otero/190002;juan-ferney-otero
80;Amiens SC;Bongani Zungu;24.0;Central Midfield;Vit. Guimarães;£1.80m;in;Summer;1.8;Ligue 1;2017;2017/2018;https://sofifa.com/player/220245/bongani-zungu/180002;bongani-zungu
81;PSV Eindhoven;Hidde Jurjus;22.0;Goalkeeper;De Graafschap;£450Th.;in;Summer;0.45;Eredivisie;2016;2016/2017;https://sofifa.com/player/228860/hidde-jurjus/170002;hidde-jurjus
82;Paris Saint-Germain;Layvin Kurzawa;22.0;Left-Back;Monaco;£22.50m;in;Summer;22.5;Ligue 1;2015;2015/2016;https://sofifa.com/player/201510/layvin-kurzawa/160002;layvin-kurzawa
83;Feyenoord Rotterdam;Ridgeciano Haps;24.0;Left-Back;AZ Alkmaar;£5.40m;in;Summer;5.4;Eredivisie;2017;2017/2018;https://sofifa.com/player/210384/ridgeciano-haps/180002;ridgeciano-haps
84;Bayern Munich;Douglas Costa;24.0;Right Winger;Shakhtar D.;£27.00m;in;Summer;27.0;1 Bundesliga;2015;2015/2016;https://sofifa.com/player/190483/douglas-costa-de-souza/160002;douglas-costa
85;Athletic Bilbao;Cristian Ganea;26.0;Left-Back;FC Viitorul;£900Th.;in;Summer;0.9;Primera Division;2018;2018/2019;https://sofifa.com/player/239116/cristian-ganea/190002;cristian-ganea
86;Newcastle United;Matt Ritchie;26.0;Left-Back;Bournemouth;£10.80m;in;Summer;10.8;Championship;2016;2016/2017;https://sofifa.com/player/186395/matt-ritchie/170002;matt-ritchie
87;Amiens SC;Gaël Kakuta;28.0;Attacking Midfield;Rayo Vallecano;£2.70m;in;Summer;2.7;Ligue 1;2019;2019/2020;https://sofifa.com/player/186197/gael-kakuta/200002;gaël-kakuta
88;Arsenal FC;Aaron Ramsdale;23.0;Goalkeeper;Sheff Utd;£25.20m;in;Summer;25.2;Premier League;2021;2021/2022;https://sofifa.com/player/233934/aaron-ramsdale/220002;aaron-ramsdale
89;Atalanta BC;Simone Muratore;22.0;Central Midfield;Juventus;£6.30m;in;Summer;6.3;Serie A;2020;2020/2021;0;simone-muratore
90;SL Benfica;Konstantinos Mitroglou;28.0;Centre-Forward;Fulham;£6.30m;in;Summer;6.3;Liga Nos;2016;2016/2017;https://sofifa.com/player/183483/konstantinos-mitroglou/170002;konstantinos-mitroglou
91;FC Barcelona;Frenkie de Jong;22.0;Central Midfield;Ajax;£77.40m;in;Summer;77.4;Primera Division;2019;2019/2020;https://sofifa.com/player/228702/frenkie-de-jong/200002;frenkie-de-jong
92;Manchester City;Daniel Arzani;19.0;Left Winger;Melbourne City;£801Th.;in;Summer;0.801;Premier League;2018;2018/2019;https://sofifa.com/player/234867/daniel-arzani/190002;daniel-arzani
93;Hull City;Adama Diomande;25.0;Centre-Forward;Stabæk Fotball;£2.12m;in;Summer;2.12;Championship;2015;2015/2016;0;adama-diomande
94;Arsenal FC;Pablo Marí;26.0;Centre-Back;Flamengo;£5.40m;in;Summer;5.4;Premier League;2020;2020/2021;https://sofifa.com/player/206654/pablo-mari-villar/210002;pablo-marí
95;Real Madrid;Dani Ceballos;20.0;Central Midfield;Real Betis;£14.85m;in;Summer;14.85;Primera Division;2017;2017/2018;https://sofifa.com/player/222509/daniel-ceballos-fernandez/180002;dani-ceballos
96;Leicester City;Ahmed Musa;23.0;Right Winger;CSKA Moscow;£17.55m;in;Summer;17.55;Premier League;2016;2016/2017;https://sofifa.com/player/201818/ahmed-musa/170002;ahmed-musa
97;SL Benfica;Mehdi Carcela-González;26.0;Right Winger;Standard Liège;£2.25m;in;Summer;2.25;Liga Nos;2015;2015/2016;https://sofifa.com/player/184089/mehdi-carcela-gonzalez/160002;mehdi-carcela-gonzález
98;Amiens SC;Prince Gouano;23.0;Centre-Back;Atalanta BC;£117Th.;in;Summer;0.117;Ligue 1;2017;2017/2018;0;prince-gouano
99;Ajax Amsterdam;Jay Gorter;21.0;Goalkeeper;Go Ahead Eagles;£900Th.;in;Summer;0.9;Eredivisie;2021;2021/2022;https://sofifa.com/player/262262/jay-gorter/220002;jay-gorter
100;Amiens SC;Rafal Kurzawa;25.0;Left Winger;Górnik Zabrze;£765Th.;in;Summer;0.765;Ligue 1;2018;2018/2019;https://sofifa.com/player/221791/rafal-kurzawa/190002;rafal-kurzawa
101;FC Barcelona;Neto;29.0;Goalkeeper;Valencia;£23.40m;in;Summer;23.4;Primera Division;2019;2019/2020;https://sofifa.com/player/194404/norberto-murara-neto/200002;
102;Atalanta BC;Josip Ilicic;29.0;Second Striker;Fiorentina;£5.76m;in;Summer;5.76;Serie A;2017;2017/2018;https://sofifa.com/player/200647/josip-ilicic/180002;josip-ilicic
103;Atalanta BC;Bryan Cabezas;19.0;Left Winger;Independiente;£2.25m;in;Summer;2.25;Serie A;2016;2016/2017;https://sofifa.com/player/235873/bryan-cabezas/170002;bryan-cabezas
104;Swansea City;Declan John;23.0;Left-Back;Rangers;£801Th.;in;Summer;0.801;Championship;2018;2018/2019;https://sofifa.com/player/211204/declan-john/190002;declan-john
105;Atalanta BC;Marco Varnier;21.0;Centre-Back;Cittadella;£2.03m;in;Summer;2.03;Serie A;2019;2019/2020;https://sofifa.com/player/235863/marco-varnier/200002;marco-varnier
106;Paris Saint-Germain;Rafinha;27.0;Attacking Midfield;Barcelona;£1.35m;in;Summer;1.35;Ligue 1;2020;2020/2021;https://sofifa.com/player/201400/rafael-alcantara/210002;
107;Arsenal FC;Takehiro Tomiyasu;22.0;Right-Back;Bologna;£16.74m;in;Summer;16.74;Premier League;2021;2021/2022;https://sofifa.com/player/232938/takehiro-tomiyasu/220002;takehiro-tomiyasu
108;Juventus FC;Miralem Pjanic;26.0;Central Midfield;AS Roma;£28.80m;in;Summer;28.8;Serie A;2015;2015/2016;https://sofifa.com/player/180206/miralem-pjanic/160002;miralem-pjanic
109;Inter Milan;Matteo Darmian;31.0;Right-Back;Parma;£2.25m;in;Summer;2.25;Serie A;2021;2021/2022;https://sofifa.com/player/184392/matteo-darmian/220002;matteo-darmian
110;Feyenoord Rotterdam;Jeremiah St. Juste;20.0;Centre-Back;Heerenveen;£4.32m;in;Summer;4.32;Eredivisie;2017;2017/2018;https://sofifa.com/player/226853/jeremiah-st-juste/180002;jeremiah-st.-juste
111;Atalanta BC;Sam Lammers;23.0;Centre-Forward;PSV Eindhoven;£6.30m;in;Summer;6.3;Serie A;2020;2020/2021;https://sofifa.com/player/236498/sam-lammers/210002;sam-lammers
112;FC Porto;Mbemba;23.0;Centre-Back;Newcastle;£4.19m;in;Summer;4.19;Liga Nos;2018;2018/2019;https://sofifa.com/player/210897/chancel-mbemba/190002;
113;Hull City;Shaun Maloney;32.0;Attacking Midfield;Chicago;£1.80m;in;Summer;1.8;Championship;2015;2015/2016;https://sofifa.com/player/49036/shaun-maloney/160002;shaun-maloney
114;Newcastle United;Matz Sels;24.0;Goalkeeper;KAA Gent;£5.94m;in;Summer;5.94;Championship;2016;2016/2017;https://sofifa.com/player/199641/matz-sels/170002;matz-sels
115;Amiens SC;Eddy Gnahoré;25.0;Central Midfield;Palermo;£2.25m;in;Summer;2.25;Ligue 1;2019;2019/2020;https://sofifa.com/player/203393/eddy-gnahore/200002;eddy-gnahoré
116;Manchester City;Pedro Porro;19.0;Right-Back;Girona;£10.80m;in;Summer;10.8;Premier League;2019;2019/2020;https://sofifa.com/player/243576/pedro-antonio-porro-sauceda/200002;pedro-porro
117;Arsenal FC;Albert Sambi Lokonga;21.0;Central Midfield;RSC Anderlecht;£15.75m;in;Summer;15.75;Premier League;2021;2021/2022;https://sofifa.com/player/241928/albert-sambi-lokonga/220002;albert-sambi-lokonga
118;Arsenal FC;Rúnar Alex Rúnarsson;25.0;Goalkeeper;Dijon;£1.80m;in;Summer;1.8;Premier League;2020;2020/2021;https://sofifa.com/player/222562/runar-alex-runarsson/210002;rúnar-alex-rúnarsson
119;Chelsea FC;Danny Drinkwater;27.0;Central Midfield;Leicester;£34.11m;in;Summer;34.11;Premier League;2017;2017/2018;https://sofifa.com/player/186132/danny-drinkwater/180002;danny-drinkwater
120;SL Benfica;Franco Cervi;22.0;Left Winger;Rosario Central;£5.13m;in;Summer;5.13;Liga Nos;2016;2016/2017;https://sofifa.com/player/223061/franco-cervi/170002;franco-cervi
121;Atalanta BC;Davide Bettella;18.0;Centre-Back;Inter;£6.30m;in;Summer;6.3;Serie A;2018;2018/2019;0;davide-bettella
122;Chelsea FC;Asmir Begovic;28.0;Goalkeeper;Stoke City;£9.90m;in;Summer;9.9;Premier League;2015;2015/2016;https://sofifa.com/player/172723/asmir-begovic/160002;asmir-begovic
123;Swansea City;Barrie McKay;23.0;Left Winger;Nottm Forest;£504Th.;in;Summer;0.504;Championship;2018;2018/2019;https://sofifa.com/player/209729/barrie-mckay/190002;barrie-mckay
124;Bayern Munich;Niklas Süle;21.0;Centre-Back;TSG Hoffenheim;£18.00m;in;Summer;18.0;1 Bundesliga;2017;2017/2018;https://sofifa.com/player/212190/niklas-sule/180002;niklas-süle
125;FC Barcelona;Samuel Umtiti;22.0;Centre-Back;Olympique Lyon;£22.50m;in;Summer;22.5;Primera Division;2016;2016/2017;https://sofifa.com/player/205600/samuel-umtiti/170002;samuel-umtiti
126;SL Benfica;Chiquinho;23.0;Attacking Midfield;Moreirense;£4.73m;in;Summer;4.73;Liga Nos;2019;2019/2020;https://sofifa.com/player/243686/francisco-l-lima-silva-machado/200002;
127;Arsenal FC;Nuno Tavares;21.0;Left-Back;Benfica;£7.20m;in;Summer;7.2;Premier League;2021;2021/2022;https://sofifa.com/player/251530/nuno-albertino-varela-tavares/220002;nuno-tavares
128;PSV Eindhoven;Héctor Moreno;27.0;Centre-Back;Espanyol;£3.15m;in;Summer;3.15;Eredivisie;2015;2015/2016;0;héctor-moreno
129;FC Porto;João Pedro;21.0;Right-Back;Palmeiras;£3.60m;in;Summer;3.6;Liga Nos;2018;2018/2019;https://sofifa.com/player/220127/joao-pedro-pereira-silva/190002;joão-pedro
130;Hull City;Jon Toral;22.0;Attacking Midfield;Arsenal U23;£2.97m;in;Summer;2.97;Championship;2017;2017/2018;https://sofifa.com/player/203746/jon-toral/180002;jon-toral
131;Cardiff City;Will Vaulks;25.0;Defensive Midfield;Rotherham;£2.12m;in;Summer;2.12;Championship;2019;2019/2020;https://sofifa.com/player/208769/will-vaulks/200002;will-vaulks
132;AZ Alkmaar;Vangelis Pavlidis;22.0;Centre-Forward;Willem II;£2.25m;in;Summer;2.25;Eredivisie;2021;2021/2022;https://sofifa.com/player/229188/vangelis-pavlidis/220002;vangelis-pavlidis
133;Paris Saint-Germain;Serge Aurier;22.0;Right-Back;Toulouse;£9.00m;in;Summer;9.0;Ligue 1;2015;2015/2016;https://sofifa.com/player/197853/serge-aurier/160002;serge-aurier
134;Atalanta BC;Andreas Cornelius;24.0;Centre-Forward;FC Copenhagen;£5.40m;in;Summer;5.4;Serie A;2017;2017/2018;https://sofifa.com/player/201943/andreas-cornelius/180002;andreas-cornelius
135;Leicester City;Nampalys Mendy;24.0;Defensive Midfield;OGC Nice;£13.95m;in;Summer;13.95;Premier League;2016;2016/2017;https://sofifa.com/player/198861/nampalys-mendy/170002;nampalys-mendy
136;Atalanta BC;Marco Carraro;20.0;Defensive Midfield;Inter;£4.50m;in;Summer;4.5;Serie A;2018;2018/2019;https://sofifa.com/player/240216/marco-carraro/190002;marco-carraro
137;AZ Alkmaar;Peter Vindahl;23.0;Goalkeeper;Nordsjaelland;£1.62m;in;Summer;1.62;Eredivisie;2021;2021/2022;https://sofifa.com/player/231237/peter-vindahl-jensen/220002;peter-vindahl
138;Juventus FC;Alex Sandro;24.0;Left-Back;FC Porto;£25.20m;in;Summer;25.2;Serie A;2015;2015/2016;https://sofifa.com/player/191043/alex-sandro-lobo-silva/160002;alex-sandro
